new_id	phase	P__Actinobacteria	P__Proteobacteria	P__Bacteroidetes	P__Firmicutes	P__Cyanobacteria.Chloroplast	P__Parcubacteria	P__Fusobacteria	K__Bacteria	NA	P__SR1	P__Candidatus_Saccharibacteria	P__Verrucomicrobia	P__Deferribacteres	P__Chloroflexi	P__Acidobacteria	P__Spirochaetes	P__Deinococcus.Thermus	P__Fibrobacteres	P__Tenericutes	P__Planctomycetes	P__Armatimonadetes	P__Gemmatimonadetes	P__Nitrospirae	P__Latescibacteria	P__Elusimicrobia	P__Ignavibacteriae	P__Microgenomates	P__Cloacimonetes	P__Synergistetes	P__candidate_division_WPS.1	P__Caldiserica	P__Chlamydiae	P__Lentisphaerae
2020-023_BSP_0544	F2	1765	11038	1654	5074	1961	1804	0	2150	61	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_BSP_0549	F2	30615	7155	5094	10286	504	402	0	730	0	0	12	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_BSP_0566	F2	2104	8312	2796	1407	555	815	356	596	307	0	167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_BSP_0568	F2	0	58	32	143	65	75	0	0	15	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_BSP_0592	F2	819	1939	2877	2877	267	145	0	1893	32	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0
2020-023_BSP_0593	F2	1764	5984	773	461	0	342	0	460	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_BSP_0594	F2	286	3302	1044	1946	0	224	0	274	0	0	372	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_BSP_0756	F2	7346	11169	9590	11673	635	10	0	641	7	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	5	0	0	0	0	0	0
2020-023_BSP_0762	F2	2284	9384	2261	7511	585	2332	0	2196	0	0	1146	196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0002	BL	32	86	57	0	2	0	0	0	2	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0004	BL	1021	2144	1116	986	950	197	0	551	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	121	0	0	0	0	0
2020-023_PSC_0005	BL	175	1280	5092	8306	0	34	0	49	10	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0008	BL	1199	1539	1231	1560	103	210	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0009	BL	152	452	2137	1771	5	0	7	5	4	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0012	BL	12	51	94	11	10	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0013	BL	1185	6547	2114	2879	702	1451	0	547	0	0	0	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0017	BL	17	480	32	222	65	18	0	281	12	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0018	BL	3794	9410	4433	1404	2685	576	0	2019	27	0	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	139	0	0	0	0	0	0
2020-023_PSC_0019	BL	311	2440	2	986	60	0	0	776	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0020	BL	705	513	523	2124	30	2	0	104	16	0	0	0	0	19	321	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0021	BL	4564	5242	3310	2710	1181	16	0	762	0	0	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0022	BL	3069	1959	562	2369	394	189	0	736	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0024	BL	159	923	2260	626	114	56	0	122	21	0	0	0	0	0	25	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0026	BL	61	48	36	37	13	13	0	52	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0027	BL	153	1634	686	1280	217	286	0	255	8	0	0	5	0	0	79	47	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0
2020-023_PSC_0029	BL	58	115	1086	1077	8	6	0	26	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0030	BL	78	153	17	60	0	46	0	9	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0033	BL	3445	4951	3480	7931	2057	926	0	2020	96	0	190	0	0	0	198	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0
2020-023_PSC_0036	BL	720	1102	1095	1024	31	34	0	424	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0038	BL	883	7704	2045	3762	2843	1168	0	2251	29	0	2066	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0039	BL	3025	3513	562	998	54	388	0	1140	0	0	256	0	0	0	176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0045	BL	40	105	909	584	6	13	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0047	BL	1889	9012	2974	7083	263	0	0	992	0	0	245	0	0	0	0	0	334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0048	BL	6167	8020	1255	2086	2588	322	0	3028	0	469	7	0	0	0	0	0	0	567	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0050	BL	419	2506	13653	19342	0	324	0	492	0	0	216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
