new_id	phase	P__Bacteroidetes	P__Firmicutes	P__Proteobacteria	P__Verrucomicrobia	P__Actinobacteria	P__Fusobacteria	P__Tenericutes	K__Bacteria	P__Spirochaetes	P__Cyanobacteria.Chloroplast	P__Synergistetes	P__Candidatus_Saccharibacteria	P__Lentisphaerae	P__Elusimicrobia	P__Parcubacteria	P__Deferribacteres	P__Deinococcus.Thermus	NA	P__Acidobacteria	P__Microgenomates	P__Chloroflexi	P__Armatimonadetes
2020-023_PSC_0074	BL	15268	13773	1269	250	468	0	0	1009	0	34	0	0	8	0	0	0	0	2	0	0	0	0
2020-023_PSC_0075	BL	12672	9030	4419	301	1559	5	0	9	0	3	0	55	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0076	BL	8594	11158	3558	102	38	0	0	26	0	3	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0077	BL	6431	5679	900	4	7	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0078	BL	20795	18145	1184	171	647	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0079	BL	10774	12615	7558	3358	253	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0080	BL	27479	6291	1517	0	122	0	0	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0081	BL	14973	10191	6487	0	967	0	0	0	0	7	0	4	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0082	BL	1300	14868	21838	0	52	0	0	2	0	7	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0083	BL	148	5031	6197	0	69	11	0	27	0	21	0	6	0	0	4	0	0	0	0	0	0	0
2020-023_PSC_0084	BL	11926	5487	3050	5	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0086	BL	15472	11365	649	0	515	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0087	BL	7570	10586	6348	2029	783	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0088	BL	4352	6258	447	141	14	0	0	407	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0089	BL	13432	6141	149	0	112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0090	BL	14023	4161	6730	0	123	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0091	BL	23325	13437	16181	1941	367	493	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0093	BL	7482	16356	2946	5	72	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0094	BL	5910	3212	1022	0	37	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0095	BL	11033	9827	1732	18	409	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0098	BL	15783	12147	6266	70	1209	206	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
