new_id	phase	C__Bacteroidia	C__Negativicutes	C__Gammaproteobacteria	C__Clostridia	C__Betaproteobacteria	C__Verrucomicrobiae	C__Bacilli	C__Actinobacteria	C__Erysipelotrichia	C__Alphaproteobacteria	P__Firmicutes	C__Deltaproteobacteria	P__Proteobacteria	C__Fusobacteriia	P__Bacteroidetes	C__Mollicutes	K__Bacteria	C__Spirochaetia	C__Chloroplast	C__Flavobacteriia	C__Synergistia	P__Candidatus_Saccharibacteria	C__Epsilonproteobacteria	C__Lentisphaeria	C__Cytophagia	C__Sphingobacteriia	C__Opitutae	C__Elusimicrobia	P__Parcubacteria	C__Deferribacteres	C__Deinococci	NA	C__Acidobacteria_Gp16	P__Microgenomates	C__Cyanobacteria	C__Chloroflexia	C__Holophagae	C__Acidobacteria_Gp4	C__Armatimonadia	C__Acidobacteria_Gp6
2020-023_PSC_0043	BL	10347	2553	2031	7282	128	315	36	1233	110	0	21	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0044	BL	5763	1396	48	3521	880	0	33	72	179	0	19	0	0	0	0	0	0	0	5	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0046	BL	7677	1269	1009	5158	21	201	118	11	170	0	0	517	0	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0047	BL	8885	448	832	8009	2580	271	29	48	74	0	1084	576	446	0	0	0	261	0	8	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0051	BL	5485	4642	3162	12096	1313	3	186	768	800	4	0	2248	0	2	0	0	0	0	0	6	0	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0052	BL	3671	2953	6319	14423	135	2	100	100	962	0	371	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0054	BL	33232	2589	9797	12990	2279	0	1398	695	440	0	18	316	0	0	25	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0056	BL	840	1795	10617	5989	515	294	431	27	697	0	416	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0058	BL	27014	17282	138	8469	4140	1600	50	284	472	0	132	649	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0059	BL	11313	3132	11263	8668	273	6	197	305	1181	0	21	35	635	0	0	0	11	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0063	BL	13775	1015	5331	5991	2761	3	95	185	71	149	13	216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0066	BL	5281	1057	1070	3549	50	0	209	147	47	0	25	374	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0067	BL	9531	141	987	6654	533	26	34	133	256	0	115	94	0	0	698	0	270	0	0	0	72	0	0	8	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0068	BL	3214	1392	145	5801	101	0	123	25	107	0	77	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0069	BL	9271	47	361	9071	676	123	99	262	904	4	67	677	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0070	BL	14688	3534	25	6745	379	9	69	292	1182	0	45	476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0071	BL	2226	999	991	3407	192	0	2421	100	725	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0072	BL	12590	4387	5776	9660	6	0	42	196	477	78	0	2472	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0073	BL	5233	8	764	7262	87	338	140	46	125	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0074	BL	15268	2278	782	8722	346	250	17	468	23	119	2733	22	0	0	0	0	1009	0	34	0	0	0	0	8	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
2020-023_PSC_0075	BL	12672	376	4043	6067	31	301	1985	1559	487	0	115	345	0	5	0	0	9	0	3	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0076	BL	8594	1219	3332	9423	129	102	181	38	255	3	80	89	5	0	0	0	26	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0077	BL	6431	1177	218	4386	514	4	35	7	21	125	60	43	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0078	BL	20795	5582	0	11187	865	171	155	647	1100	89	121	219	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0079	BL	10774	3677	5771	8348	1587	3358	6	253	560	0	24	164	36	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0080	BL	27479	2081	7	4033	1456	0	27	122	150	54	0	0	0	0	0	0	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0081	BL	14973	1686	4741	8311	1504	0	25	967	103	0	66	242	0	0	0	0	0	0	7	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0082	BL	1295	1968	21824	9426	11	0	296	52	414	3	2764	0	0	0	0	0	2	0	7	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0083	BL	38	6	6060	4639	119	0	378	69	8	8	0	3	7	11	3	0	27	0	21	81	0	6	0	0	23	3	0	0	4	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0084	BL	11775	3	2064	5178	869	5	9	29	278	0	19	79	38	0	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0086	BL	15472	2264	358	6077	185	0	2866	515	70	0	88	106	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0087	BL	7570	3117	6334	7068	14	2029	35	783	279	0	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0088	BL	4352	2703	8	3273	149	141	13	14	6	0	263	290	0	0	0	0	407	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0089	BL	13432	3036	111	2759	38	0	196	112	114	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0090	BL	14023	1287	5921	2533	386	0	91	123	197	246	53	121	56	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0091	BL	23325	1603	15230	11073	366	1941	477	367	191	0	93	585	0	493	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0093	BL	7479	2700	2358	13145	124	5	300	72	122	4	89	456	4	0	3	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0094	BL	5910	486	703	1599	109	0	716	37	384	0	27	210	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0095	BL	11033	2130	706	7326	527	18	178	409	137	77	56	47	375	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
