new_id	phase	C__Bacteroidia	C__Negativicutes	C__Gammaproteobacteria	C__Clostridia	C__Betaproteobacteria	C__Verrucomicrobiae	C__Bacilli	C__Actinobacteria	C__Erysipelotrichia	C__Alphaproteobacteria	P__Firmicutes	C__Deltaproteobacteria	P__Proteobacteria	C__Fusobacteriia	P__Bacteroidetes	C__Mollicutes	K__Bacteria	C__Spirochaetia	C__Chloroplast	C__Flavobacteriia	C__Synergistia	P__Candidatus_Saccharibacteria	C__Epsilonproteobacteria	C__Lentisphaeria	C__Cytophagia	C__Sphingobacteriia	C__Opitutae	C__Elusimicrobia	P__Parcubacteria	C__Deferribacteres	C__Deinococci	NA	C__Acidobacteria_Gp16	P__Microgenomates	C__Cyanobacteria	C__Chloroflexia	C__Holophagae	C__Acidobacteria_Gp4	C__Armatimonadia	C__Acidobacteria_Gp6
2020-023_PSC_0170	BL	6533	623	9069	13966	38	109	539	3544	361	12	3278	120	132	0	4214	0	7	0	14	0	0	0	0	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0174	BL	2183	136	183	1854	183	7	32	13	237	37	44	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0175	BL	8174	129	15	4224	203	0	31	23	77	0	91	0	275	0	362	0	323	2167	0	0	0	0	0	44	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0177	BL	12762	1323	8570	5680	200	7	16	439	663	0	47	548	0	0	72	0	132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0178	BL	7107	542	3236	5090	347	0	147	28	29	0	30	0	0	0	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0179	BL	13191	1283	379	6980	1533	2	128	159	86	0	323	39	1318	0	0	0	823	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0181	BL	5443	132	4	2570	119	0	410	17	32	6	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0182	BL	10864	4416	233	9180	0	45	86	204	391	0	120	0	36	0	0	0	32	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0183	BL	13431	511	319	3207	1500	3	3	88	78	218	6	69	87	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0184	BL	7846	237	454	7476	510	7	24	19	34	139	94	190	260	0	149	117	1336	0	14	0	156	0	13	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0185	BL	14911	6644	5020	4135	302	3	2	29	146	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0186	BL	10	422	495	717	31	0	3978	1598	0	3	0	0	0	0	0	0	0	0	18	14	0	5	20	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0187	BL	10830	2692	1071	8813	2350	68	45	80	965	0	91	187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0188	BL	21767	878	1717	5553	2279	0	20	118	363	0	22	21	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0190	BL	12926	807	371	6074	0	1301	65	33	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0191	BL	9251	1230	2299	12981	175	95	78	1348	1287	0	57	19	0	0	1401	0	162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0192	BL	14419	11	5857	10419	5	95	821	86	573	0	103	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0193	BL	21104	3222	12807	11850	0	0	105	283	293	0	0	0	0	0	0	0	0	0	0	0	0	5	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0194	BL	6139	338	6433	5759	76	1039	1434	275	941	2	0	48	34	307	0	0	2	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0195	BL	437	345	51	13123	148	0	3872	65	523	0	13	0	0	0	0	0	0	0	0	47	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0196	BL	6777	3609	5558	4864	529	0	489	72	41	0	64	351	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0197	BL	10678	947	11258	12843	205	113	349	705	487	48	90	117	0	0	35	0	505	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0199	BL	16678	5388	13566	23103	326	125	722	2929	2783	0	0	525	0	0	0	0	1017	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0200	BL	10726	437	117	5192	855	0	170	621	194	5	116	240	14	0	0	0	19	0	10	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0201	BL	31392	4308	348	14030	2540	5	11	521	212	126	70	474	3477	0	0	0	66	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0202	BL	13490	1271	0	7971	44	0	553	134	112	2	127	0	0	0	0	0	33	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0203	BL	11578	5426	290	1525	1479	0	13	64	645	0	0	463	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0204	BL	15697	1905	254	9699	1592	1360	13	63	140	0	755	131	0	0	0	0	9	0	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0205	BL	13974	335	1613	5764	496	828	14	127	284	107	18	472	359	0	0	0	0	0	26	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0206	BL	13141	1276	1040	14571	2270	9	165	330	182	0	113	78	0	0	0	0	1224	0	0	0	0	0	0	0	0	0	200	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0207	BL	7973	16	5027	4359	0	66	378	83	148	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0209	BL	5913	1077	6934	3662	345	171	198	149	159	0	320	281	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0211	BL	2454	241	1041	7190	652	0	667	0	1114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0212	BL	16028	5826	37	5758	1460	116	34	33	673	0	18	6	65	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0213	BL	6613	1319	2268	2506	33	0	7	241	914	0	244	212	0	64	0	0	29	0	0	0	0	0	352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0215	BL	15732	1957	2934	15103	603	43	373	62	208	12	9	744	2	2	3	0	0	0	6	0	9	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0216	BL	8731	1553	4206	4817	1678	0	653	280	677	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0218	BL	10580	20	1098	6308	499	0	626	61	190	0	50	158	7	22	0	0	0	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0219	BL	7654	272	569	3637	39	222	14	222	267	343	37	39	0	4	67	0	45	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0220	BL	7645	134	894	7448	12	38	121	64	339	0	33	0	0	0	0	0	0	0	31	0	4	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0221	BL	16150	6576	241	8149	196	0	127	286	239	276	98	594	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0223	BL	10242	114	10338	5008	0	0	79	232	1927	1370	51	0	5	0	0	0	0	0	8	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0228	BL	4574	1335	3043	4269	371	0	10	17	148	0	21	121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0229	BL	24611	5139	3191	10117	1005	0	2690	163	187	0	579	95	0	0	0	0	0	0	0	0	242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0230	BL	13691	3418	534	6786	513	32	793	927	156	0	235	1195	437	0	0	0	10	0	7	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0231	BL	10603	820	20	6889	24	0	8	32	35	120	44	0	0	0	0	0	6	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0232	BL	2929	1190	872	11115	0	0	10	173	624	0	661	17	0	0	0	3	48	0	0	0	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0233	BL	10511	3475	6418	3211	134	0	14	31	130	15	0	25	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0234	BL	3755	587	452	5390	354	146	7	40	122	54	190	132	40	0	0	0	30	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0235	BL	5687	278	11170	1318	278	99	127	31	51	0	0	34	0	23	0	0	5	0	105	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0236	BL	4641	2356	331	6611	1266	0	93	167	130	0	3130	75	134	0	0	0	634	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0237	BL	14228	497	65	6819	644	0	248	210	227	0	165	138	0	0	0	0	0	0	10	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0239	BL	7535	2246	1790	7295	2337	0	1349	46	309	0	257	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0241	BL	10513	142	80	4166	0	6	1973	437	182	0	25	0	0	7	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0243	BL	21366	3831	7	16631	4779	0	78	75	554	990	94	948	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0244	BL	5337	768	3211	5569	3887	0	462	16	918	0	0	0	0	0	0	0	0	0	5	0	0	5	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0245	BL	13412	4255	3880	5849	1249	2	48	19	350	0	197	342	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0246	BL	18280	872	0	3149	1189	0	0	0	52	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0247	BL	31714	4569	82	6205	579	0	23	196	210	3	11	4	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0
2020-023_PSC_0248	BL	14796	4286	15060	7948	84	0	40	198	1158	0	45	1938	0	1407	0	0	0	0	9	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0250	BL	17008	13022	285	9461	2655	14	5	9	423	0	230	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0251	BL	11973	3933	3369	8214	4982	0	15	106	628	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0252	BL	14331	4226	1780	9500	509	4	639	159	275	1115	29	291	0	0	0	0	82	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0255	BL	14138	3018	6222	8102	4748	2	485	264	676	0	34	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0258	BL	28916	6913	622	20902	2529	0	350	438	5178	0	46	44	0	0	34	0	1904	0	0	0	3	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0259	BL	11756	318	9348	4064	0	7	0	13	185	0	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0260	BL	2762	546	45	17882	61	29	982	1240	2716	36	694	5	16	0	0	0	325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0262	BL	6433	2127	9999	5281	840	0	53	31	158	132	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0263	BL	12796	220	3268	6061	2930	0	35	608	144	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0264	BL	5647	2069	3021	6054	41	0	65	159	287	0	39	116	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0265	BL	14336	739	356	3422	0	0	475	19	100	0	0	0	0	1053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0266	BL	14476	5364	16	9181	1109	8	640	94	1131	0	0	2	0	0	0	0	4	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0267	BL	4134	151	3774	5552	42	77	64	411	356	3	50	223	12	0	0	0	225	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0269	BL	6980	3150	2	3875	233	0	246	51	694	7	0	2	0	0	0	0	0	0	8	2	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0271	BL	4612	701	0	9887	63	0	41	29	21	0	102	0	0	0	3386	0	38	0	3	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0273	BL	19088	4920	270	11907	4282	0	812	93	65	0	63	471	0	0	0	0	8	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0274	BL	11737	1133	987	6038	0	6	7	93	181	0	193	150	0	0	0	0	22	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0275	BL	7235	0	505	7214	39	17	165	139	60	0	210	29	131	0	0	0	120	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0276	BL	13435	2506	232	16590	1709	0	34	58	80	93	32	294	15	0	0	0	7	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0277	BL	8045	1015	20	7994	21	0	401	194	215	0	447	0	8	0	0	0	6	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0279	BL	10592	980	450	6841	90	0	18964	1516	95	3	0	0	0	5	0	0	0	0	0	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
2020-023_PSC_0280	BL	8758	721	1880	8154	2512	0	256	476	608	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0284	BL	13111	20	3760	10601	227	61	58	443	427	0	109	319	44	0	985	0	393	0	11	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0285	BL	12597	2218	519	9661	1590	10	143	414	326	576	53	0	41	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0287	BL	13932	751	289	8859	3288	0	0	65	225	0	23	0	23	0	0	0	101	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0288	BL	27214	434	790	8958	1555	0	542	683	627	0	58	0	0	4	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0289	BL	10871	2363	159	5901	451	0	23	4	88	0	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0291	BL	15690	3019	4837	8107	0	174	928	40	118	0	296	293	1961	0	0	0	0	0	0	0	0	0	468	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0292	BL	7271	209	7135	4911	110	1506	12	662	225	0	109	348	330	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0295	BL	13220	774	540	2164	225	0	500	174	274	0	4	0	0	0	0	885	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0298	BL	15771	0	66	8050	4166	2	172	61	337	0	7	44	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0299	BL	8518	5483	17382	20170	7	0	430	216	3799	0	830	0	0	11	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0300	BL	11473	1353	7528	6960	312	245	34	299	435	0	43	240	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0302	BL	4721	417	887	5326	4	62	11	20	50	193	69	9	0	0	0	0	110	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0303	BL	19150	87	59	10851	701	28	70	206	869	1120	475	23	1893	0	0	0	973	0	5	0	2	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0305	BL	17757	607	0	8752	84	0	175	24	17	0	120	0	0	0	0	0	83	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0306	BL	6186	1261	2293	4650	359	45	115	0	96	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0307	BL	16028	291	6661	4345	0	1821	23	20	199	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0308	BL	25141	3714	1302	6163	1890	0	5	98	456	130	26	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0313	BL	14522	1970	4013	2100	3164	1689	732	171	107	0	0	1104	0	3439	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0314	BL	10907	5809	3336	5105	482	0	240	498	199	7	0	510	37	0	24	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0315	BL	16578	859	9338	13376	111	79	141	336	96	0	350	361	0	0	0	0	224	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0317	BL	11456	580	2007	9950	1180	0	1506	991	140	2	1902	361	25	0	25	0	27	0	84	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0318	BL	1290	1299	1065	5001	39	0	82	32	78	0	60	222	106	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0319	BL	14482	2012	347	4336	517	0	154	48	46	0	275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0321	BL	15378	1123	214	8717	1193	221	22	359	374	44	176	0	5	0	0	0	1018	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0322	BL	14242	410	967	9711	101	60	441	381	286	7	362	34	3	0	2085	13	22	0	6	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0324	BL	2	90	3	19988	723	0	200	117	1664	0	15	0	0	0	0	0	0	0	41	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0325	BL	7102	61	568	8561	170	0	1373	498	354	0	154	38	0	0	0	0	51	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0326	BL	2984	1209	247	4217	43	0	82	0	40	0	43	39	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0330	BL	15595	3652	4337	6486	32	0	141	57	517	0	7	0	54	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0332	BL	31929	7191	2794	14834	10862	0	68	2425	4829	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0334	BL	3362	994	373	2726	155	0	12	11	61	11	6	199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0335	BL	4255	374	54	5679	459	7	193	25	319	102	45	126	4	0	279	0	69	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0337	BL	9852	349	102	7052	1112	7	11	166	61	0	19	39	459	0	709	0	28	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0338	BL	20455	2061	17	8897	437	4	0	262	320	0	2065	32	9	0	685	0	635	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0339	BL	9419	74	2325	7126	84	0	148	22	29	112	825	6	133	0	0	0	2132	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0340	BL	4886	226	9403	2569	27	0	74	11	33	0	13	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0342	BL	4886	918	1147	8305	104	16	1380	25	38	22	64	40	12	3	0	0	9	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0343	BL	14441	34	4069	8947	1229	348	55	132	294	0	26	59	0	9	79	0	92	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0344	BL	21255	6451	1745	16721	476	0	14	48	248	1376	497	234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0345	BL	6717	647	18	4775	414	79	202	20	178	0	1000	50	25	0	0	0	302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0346	BL	10220	3498	5527	7809	132	717	976	299	403	0	177	0	17	0	0	0	0	0	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0347	BL	2322	1096	355	8843	115	31	63	137	154	28	35	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0350	BL	1815	1087	0	5952	12	45	0	46	139	23	53	54	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0351	BL	27528	0	7617	25222	1465	434	126	426	233	816	315	85	273	0	0	0	180	0	193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0352	BL	19307	6451	322	6472	577	0	23	225	516	241	31	352	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0354	BL	3107	3363	3938	4982	8	60	0	66	45	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0355	BL	20521	4868	1213	20393	20	6	284	203	3880	96	15	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0356	BL	6405	646	237	3305	44	0	911	57	29	0	48	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0357	BL	14505	1782	1595	8684	359	0	2245	24	56	0	164	22	0	0	0	0	2	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0358	BL	8798	449	717	5281	284	8	0	260	330	0	2400	199	10	0	0	0	817	0	0	0	8	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0359	BL	8235	1864	88	6214	318	2	782	75	166	3	281	0	45	1385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
2020-023_PSC_0360	BL	10302	830	7615	11772	0	1196	546	190	1785	0	34	0	3	0	0	0	3	0	27	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0362	BL	12429	76	5636	13424	0	0	0	69	738	0	0	612	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0363	BL	12514	224	229	6199	815	0	16	39	84	0	65	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0366	BL	13143	230	3365	8092	277	9	1859	897	1044	0	290	67	0	0	0	0	914	0	5	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
