new_id	phase	P__Bacteroidetes	P__Firmicutes	P__Proteobacteria	K__Bacteria	P__Actinobacteria	P__Cyanobacteria.Chloroplast	P__Parcubacteria	P__Acidobacteria	P__Gemmatimonadetes	P__Candidatus_Saccharibacteria	P__Deinococcus.Thermus	P__Armatimonadetes	P__Tenericutes	P__Chloroflexi	P__Verrucomicrobia	P__SR1	P__Spirochaetes	P__Nitrospirae	Unassigned	P__Planctomycetes	P__Fibrobacteres	P__Fusobacteria	P__Synergistetes	P__Microgenomates	P__Deferribacteres	P__Cloacimonetes	P__candidate_division_WPS.1	P__Hydrogenedentes	P__Latescibacteria	P__Elusimicrobia	P__Lentisphaerae	P__Ignavibacteriae
2020-023_PSC_0163	BL	4736	825	4500	1594	3854	1027	444	428	0	0	0	30	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0169	BL	1397	348	526	458	548	17	108	103	8	8	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0177	BL	4307	10692	4502	2043	1211	472	828	0	0	101	0	0	0	15	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0178	BL	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0181	BL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0187	BL	8544	12238	500	75	246	0	0	0	0	0	131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0188	BL	16190	5927	10508	2246	1250	652	149	240	0	94	0	5	0	230	90	0	41	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0193	BL	3316	4305	4359	626	1228	494	332	55	6	124	24	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0195	BL	10600	32828	33211	2645	4130	1502	1052	369	39	174	155	7	0	0	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0197	BL	2472	10793	9032	1152	1250	764	493	0	0	0	0	44	0	0	114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0201	BL	2323	653	1640	697	200	111	130	46	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0203	BL	4268	1350	5944	2942	1223	516	752	105	0	40	0	18	0	0	24	158	0	0	0	9	0	0	0	0	0	0	0	6	0	0	0	0
2020-023_PSC_0212	BL	4257	10698	10832	1617	3603	638	161	145	0	34	81	0	0	0	0	0	0	0	0	13	0	44	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0231	BL	5047	2090	6045	2332	1334	384	462	332	190	513	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0232	BL	8552	6171	9273	3081	2448	813	1162	0	184	71	0	0	0	49	19	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0234	BL	1728	8599	7246	810	2961	333	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0235	BL	4811	5690	6699	3501	4444	477	488	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0239	BL	12457	2950	13681	6801	3067	1435	2168	53	0	254	0	0	0	0	251	112	0	0	354	34	0	0	0	41	0	155	0	0	0	0	0	0
2020-023_PSC_0243	BL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0274	BL	3963	7286	7238	1237	2170	341	491	79	0	70	0	0	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0284	BL	19615	1735	8111	2727	568	3755	130	243	24	28	30	21	0	119	39	16	55	0	4	16	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0285	BL	2810	6860	5282	1583	819	207	477	135	0	21	0	0	0	0	64	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0
2020-023_PSC_0292	BL	2806	1385	3552	909	526	923	444	111	0	0	0	0	0	17	71	105	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0299	BL	6593	916	8462	1800	1373	260	395	0	0	0	0	0	0	0	15	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0302	BL	4858	44655	7698	1956	19599	758	610	86	0	0	0	0	0	0	54	154	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0313	BL	4455	3193	5355	1621	436	738	382	25	71	48	0	8	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0332	BL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0343	BL	3740	7698	7512	1089	1014	588	395	291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0346	BL	1409	5023	5639	577	244	761	112	0	0	0	0	0	0	35	0	0	14	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0347	BL	779	338	2707	1364	1303	86	154	0	0	0	0	0	0	0	0	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0356	BL	5072	5498	2140	923	2706	77	591	0	0	343	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0367	BL	3057	9638	7796	763	1621	789	210	0	0	127	0	0	0	0	0	0	68	0	0	18	0	0	0	7	0	0	0	0	0	0	0	0
2020-023_PSC_0371	BL	4802	1119	5504	2201	626	975	575	212	0	243	0	17	0	5	31	0	0	0	98	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0375	BL	8497	12516	430	103	289	4	0	0	0	9	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0377	BL	3482	731	5696	1206	2195	415	455	0	0	0	0	0	0	131	17	0	0	0	9	38	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0391	BL	6168	6715	9104	3122	1470	1060	674	199	0	190	0	45	0	148	109	29	276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0394	BL	3778	506	3872	1005	1068	752	867	392	0	105	0	0	0	108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0397	BL	2415	9093	5248	770	5386	599	90	81	0	19	59	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0400	BL	239	128	196	157	101	3	15	17	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0408	BL	1899	593	1916	718	21	126	272	41	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0419	BL	2222	6776	5964	758	1049	699	455	153	0	42	92	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0430	BL	1740	315	2441	1171	1848	373	439	161	107	82	0	26	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0437	BL	4630	721	7560	2629	1204	81	753	0	0	12	0	80	0	0	119	45	237	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0439	BL	2601	8371	5702	774	648	357	283	101	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0446	BL	6880	5925	16265	3879	6011	1376	1770	801	3	167	0	0	0	183	0	0	0	0	4	56	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0453	BL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0456	BL	2637	973	2362	1226	311	326	340	130	0	0	0	0	0	0	0	0	0	45	7	0	0	0	0	0	0	22	0	0	0	0	0	0
2020-023_PSC_0462	BL	3157	5176	5985	1284	562	870	357	125	0	39	16	0	0	16	0	0	0	37	0	0	0	164	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0465	BL	4684	1472	5655	2143	821	427	461	120	0	63	0	0	0	147	16	0	125	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0485	BL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0505	BL	3370	8486	7118	913	954	571	207	85	0	7	144	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0508	BL	1749	657	1429	789	509	239	171	0	28	0	0	0	0	0	0	75	0	0	0	7	0	0	0	0	0	0	0	0	25	0	0	0
2020-023_PSC_0511	BL	1309	164	1344	947	428	738	145	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
2020-023_PSC_0512	BL	2813	8162	4764	977	1026	761	116	68	0	0	0	0	0	49	16	11	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0525	BL	965	190	533	276	391	19	78	50	0	9	0	5	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0527	BL	3987	2232	5858	2888	754	181	482	0	0	0	0	0	0	0	0	0	0	0	0	65	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0528	BL	6180	10011	333	103	671	0	0	0	0	0	5	0	0	0	8	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0532	BL	2251	942	2481	587	1410	295	83	132	0	133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0534	BL	4931	1346	6125	1991	1145	647	829	0	0	185	0	0	35	0	79	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0539	BL	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0543	BL	4163	4386	4758	1286	487	853	272	172	0	208	0	49	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0547	BL	492	107	742	262	422	76	88	0	0	8	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0551	BL	10523	1962	10406	4033	1552	450	1523	0	0	131	0	0	0	0	0	0	0	0	0	61	0	0	0	35	0	0	0	0	0	0	0	0
2020-023_PSC_0578	BL	4179	807	6680	2381	586	574	54	35	0	98	0	36	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0581	BL	9048	1145	10748	2075	3563	794	1153	364	51	60	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0587	BL	3415	252	3247	1872	557	506	279	152	0	79	0	0	51	25	23	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0588	BL	3242	822	4639	2739	729	669	322	55	0	0	0	0	0	0	49	0	0	0	31	9	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0595	BL	33906	394	13459	5176	803	4024	431	415	53	12	18	15	0	83	87	56	24	0	0	60	0	12	0	0	0	0	0	0	0	0	2	0
2020-023_PSC_0603	BL	4948	3006	9636	3885	4376	613	1502	125	61	114	0	0	0	0	49	0	0	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0607	BL	2319	3603	4130	1067	657	324	167	63	0	0	0	0	0	0	6	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0616	BL	5493	26514	3048	1945	555	385	485	46	0	29	0	0	0	0	22	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0618	BL	4745	11875	9513	1182	2132	339	230	33	47	0	0	29	0	0	14	0	76	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0
