new_id	phase	C__Flavobacteriia	C__Bacilli	C__Betaproteobacteria	K__Bacteria	C__Actinobacteria	C__Alphaproteobacteria	C__Epsilonproteobacteria	C__Gammaproteobacteria	C__Chloroplast	P__Parcubacteria	C__Negativicutes	C__Cytophagia	C__Bacteroidia	C__Oligoflexia	P__Proteobacteria	C__Clostridia	C__Acidobacteria_Gp4	C__Sphingobacteriia	C__Deltaproteobacteria	C__Cyanobacteria	P__Cyanobacteria.Chloroplast	C__Gemmatimonadetes	P__Candidatus_Saccharibacteria	P__Firmicutes	P__Bacteroidetes	C__Acidobacteria_Gp6	C__Acidobacteria_Gp3	C__Deinococci	C__Armatimonadia	C__Mollicutes	C__Caldilineae	C__Verrucomicrobiae	P__SR1	C__Erysipelotrichia	C__Spirochaetia	P__Chloroflexi	C__Nitrospira	Unassigned	P__Planctomycetes	C__Spartobacteria	C__Acidobacteria_Gp16	C__Phycisphaerae	P__Acidobacteria	C__Acidobacteria_Gp17	C__Fibrobacteria	C__Chloroflexia	C__Fusobacteriia	C__Acidobacteria_Gp1	C__Thermoleophilia	C__Planctomycetia	P__Verrucomicrobia	C__Subdivision3	C__Armatimonadetes_gp5	C__Synergistia	P__Microgenomates	C__Anaerolineae	C__Deferribacteres	C__Opitutae	C__Candidatus_Cloacamonas	C__Holophagae	C__Acidobacteria_Gp11	P__candidate_division_WPS.1	C__Thermomicrobia	C__Acidobacteria_Gp10	P__Actinobacteria	C__Fimbriimonadia	C__Chitinivibrionia	C__Candidatus_Hydrogenedens	P__Latescibacteria	C__Endomicrobia	P__Lentisphaerae	C__Ignavibacteria	C__Oligosphaeria	C__Lentisphaeria	C__Armatimonadetes_gp4
2020-023_PSC_0106	BL	4392	540	2526	2861	1372	2078	0	933	1154	562	137	1150	0	125	222	382	0	0	742	0	0	154	211	94	42	125	0	0	0	0	203	0	0	0	0	0	0	0	80	0	0	2	0	0	0	14	0	0	0	2	0	0	0	0	0	0	0	11	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0108	BL	1319	378	836	442	275	868	0	585	373	239	0	0	81	135	537	282	0	63	5	0	0	108	0	0	37	0	31	0	0	0	0	0	0	112	0	0	27	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0110	BL	720	2728	566	2806	655	240	15061	1313	46	123	133	24	11025	6	152	16951	0	0	1367	0	0	20	0	805	153	0	0	0	0	272	0	0	0	437	31	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0112	BL	817	593	692	308	323	382	0	203	329	25	0	147	136	75	25	223	0	95	78	0	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0115	BL	0	137	38	0	54	0	0	574	2	0	1335	0	8128	0	0	2317	0	0	285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	323	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0120	BL	3234	4461	3645	1859	629	1539	0	1665	410	134	0	296	0	50	325	64	0	11	510	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0127	BL	1211	5932	2166	283	860	709	0	1185	78	141	104	163	355	153	39	927	91	43	88	68	0	0	0	40	0	0	0	0	0	0	62	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	69	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0128	BL	4373	124	4360	3684	436	2113	95	331	789	452	315	154	314	0	182	108	0	0	470	0	0	0	94	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0133	BL	3978	410	2909	2209	708	1894	0	678	521	522	0	244	81	0	300	848	0	116	579	0	0	0	0	0	0	0	218	0	0	0	0	57	0	0	41	0	0	15	54	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0136	BL	4446	10221	4745	2038	1083	2299	0	1927	493	706	79	284	257	196	340	660	54	229	334	19	43	0	0	0	160	44	0	72	0	0	0	6	0	209	108	60	0	0	0	0	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0148	BL	740	388	220	383	245	93	0	112	14	205	0	9	89	248	0	126	102	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0157	BL	1231	7507	3409	767	1223	2210	0	1494	420	17	77	167	280	62	199	1412	145	0	0	199	0	61	0	0	34	81	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0158	BL	6265	9575	6333	2454	1084	2315	0	2744	913	258	0	356	242	145	561	2042	185	461	603	300	72	0	0	55	218	82	0	0	0	0	0	0	99	187	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0160	BL	365	120	109	261	536	163	0	244	55	77	14	50	0	0	32	88	0	52	3	0	0	0	9	0	11	0	0	0	0	0	0	3	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0163	BL	3996	387	2117	1594	3854	609	0	1070	1027	444	0	526	0	0	354	383	275	214	350	0	0	0	0	0	0	153	0	0	30	0	0	0	0	55	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0169	BL	1270	292	196	458	548	77	0	131	17	108	0	18	92	0	62	56	11	6	60	0	0	8	8	0	11	92	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0177	BL	3671	9934	1440	2043	1211	1281	0	606	472	828	0	325	0	161	496	710	0	119	518	0	0	0	101	48	192	0	0	0	0	0	15	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0178	BL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0181	BL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0187	BL	63	972	244	75	246	27	0	180	0	0	4782	0	8476	0	31	6070	0	0	18	0	0	0	0	370	5	0	0	131	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0188	BL	15591	4647	6193	2246	1250	1329	0	1786	615	149	0	332	71	118	460	1243	51	130	622	37	0	0	94	37	66	105	84	0	0	0	166	41	0	0	41	46	0	0	0	0	0	0	0	0	0	12	0	0	0	11	18	12	5	0	0	0	0	19	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0193	BL	2511	4034	2722	626	1228	777	0	457	494	332	34	239	397	46	302	237	0	154	55	0	0	6	124	0	15	0	55	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0195	BL	8849	32499	16046	2645	4130	5129	131	10844	776	1052	0	971	576	178	579	220	133	95	304	625	101	39	174	109	109	118	0	155	7	0	0	0	0	0	0	0	0	0	0	0	118	0	0	0	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0197	BL	2074	9777	3788	1152	1250	2281	0	2642	536	493	67	55	197	165	5	949	0	94	151	163	65	0	0	0	52	0	0	0	44	0	0	114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0201	BL	1913	467	666	697	200	428	29	389	111	130	25	114	141	0	44	161	46	132	84	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0203	BL	3378	446	2438	2942	1223	1875	216	829	516	752	40	468	332	85	281	639	102	0	220	0	0	0	40	0	90	3	0	0	0	0	0	24	158	225	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	7	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0
2020-023_PSC_0212	BL	3402	8850	5568	1617	3603	2195	0	2873	495	161	184	301	360	0	24	1664	0	0	172	83	60	0	34	0	194	92	0	81	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	0	0	0	44	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0231	BL	4427	1333	2726	2332	1334	1956	0	102	384	462	0	507	4	556	272	757	226	62	433	0	0	190	513	0	47	0	106	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0232	BL	7721	5496	5144	3081	2448	1975	0	1458	531	1162	0	366	125	79	262	645	0	14	355	0	282	184	71	0	326	0	0	0	0	0	0	6	0	30	0	0	0	0	21	0	0	34	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
