new_id	phase	K__Bacteria	NA
2020-023_PSC_0221	BL	32932	0
2020-023_PSC_0223	BL	29376	0
2020-023_PSC_0228	BL	13909	0
2020-023_PSC_0229	BL	48019	0
2020-023_PSC_0230	BL	28790	0
2020-023_PSC_0231	BL	18608	0
2020-023_PSC_0232	BL	17704	0
2020-023_PSC_0233	BL	23970	0
2020-023_PSC_0234	BL	11305	0
2020-023_PSC_0235	BL	19208	0
2020-023_PSC_0236	BL	19577	0
2020-023_PSC_0237	BL	23264	0
2020-023_PSC_0239	BL	23166	0
2020-023_PSC_0241	BL	17554	0
2020-023_PSC_0243	BL	49369	0
2020-023_PSC_0244	BL	20197	0
2020-023_PSC_0245	BL	29605	0
2020-023_PSC_0246	BL	23546	0
2020-023_PSC_0247	BL	43624	0
2020-023_PSC_0248	BL	46976	0
2020-023_PSC_0250	BL	43112	0
2020-023_PSC_0251	BL	33223	0
2020-023_PSC_0252	BL	32944	0
2020-023_PSC_0255	BL	37702	0
2020-023_PSC_0258	BL	67893	0
2020-023_PSC_0259	BL	25767	0
2020-023_PSC_0260	BL	27339	0
2020-023_PSC_0262	BL	25062	0
2020-023_PSC_0263	BL	26071	0
2020-023_PSC_0264	BL	17500	0
2020-023_PSC_0265	BL	20500	0
2020-023_PSC_0266	BL	32074	0
2020-023_PSC_0267	BL	15076	0
2020-023_PSC_0269	BL	15256	0
2020-023_PSC_0271	BL	18887	0
2020-023_PSC_0273	BL	41982	0
2020-023_PSC_0274	BL	20549	0
2020-023_PSC_0275	BL	15867	0
2020-023_PSC_0276	BL	35108	0
2020-023_PSC_0277	BL	18369	0
2020-023_PSC_0279	BL	39544	0
2020-023_PSC_0280	BL	23367	0
2020-023_PSC_0284	BL	30571	0
2020-023_PSC_0285	BL	28151	0
2020-023_PSC_0287	BL	27563	0
2020-023_PSC_0288	BL	40879	0
2020-023_PSC_0289	BL	19945	0
2020-023_PSC_0291	BL	35931	0
2020-023_PSC_0292	BL	22828	0
2020-023_PSC_0295	BL	18760	0
2020-023_PSC_0298	BL	28678	0
2020-023_PSC_0299	BL	56879	0
2020-023_PSC_0300	BL	28935	0
2020-023_PSC_0302	BL	11902	0
2020-023_PSC_0303	BL	36538	0
2020-023_PSC_0305	BL	27633	0
2020-023_PSC_0306	BL	15032	0
2020-023_PSC_0307	BL	29400	0
2020-023_PSC_0308	BL	38968	0
2020-023_PSC_0313	BL	33018	0
2020-023_PSC_0314	BL	27160	0
2020-023_PSC_0315	BL	41855	0
2020-023_PSC_0317	BL	30239	0
2020-023_PSC_0318	BL	9299	0
2020-023_PSC_0319	BL	22217	0
2020-023_PSC_0321	BL	28848	0
2020-023_PSC_0322	BL	29137	0
2020-023_PSC_0324	BL	22845	0
2020-023_PSC_0325	BL	18947	0
2020-023_PSC_0326	BL	8912	0
2020-023_PSC_0330	BL	30883	0
2020-023_PSC_0332	BL	74932	0
2020-023_PSC_0334	BL	7910	0
2020-023_PSC_0335	BL	11994	0
2020-023_PSC_0337	BL	19976	0
2020-023_PSC_0338	BL	35879	0
2020-023_PSC_0339	BL	22440	0
2020-023_PSC_0340	BL	17245	0
2020-023_PSC_0342	BL	16972	0
2020-023_PSC_0343	BL	29821	0
2020-023_PSC_0344	BL	49065	0
2020-023_PSC_0345	BL	14427	0
2020-023_PSC_0346	BL	29860	0
2020-023_PSC_0347	BL	13181	0
2020-023_PSC_0350	BL	9238	0
2020-023_PSC_0351	BL	64913	0
2020-023_PSC_0352	BL	34546	0
2020-023_PSC_0354	BL	15580	0
2020-023_PSC_0355	BL	51515	0
2020-023_PSC_0356	BL	11709	0
2020-023_PSC_0357	BL	29441	0
2020-023_PSC_0358	BL	19567	0
2020-023_PSC_0359	BL	19462	0
2020-023_PSC_0360	BL	34315	0
2020-023_PSC_0362	BL	33006	0
2020-023_PSC_0363	BL	20192	0
2020-023_PSC_0366	BL	30195	0
2020-023_PSC_0367	BL	55018	0
2020-023_PSC_0369	BL	33639	0
2020-023_PSC_0370	BL	25946	0
2020-023_PSC_0371	BL	27233	0
2020-023_PSC_0373	BL	44418	0
2020-023_PSC_0374	BL	28486	0
2020-023_PSC_0375	BL	31906	0
2020-023_PSC_0376	BL	24022	0
2020-023_PSC_0377	BL	59085	0
2020-023_PSC_0378	BL	22329	0
2020-023_PSC_0383	BL	26667	0
2020-023_PSC_0384	BL	27764	0
2020-023_PSC_0385	BL	15109	0
2020-023_PSC_0389	BL	19823	0
2020-023_PSC_0390	BL	31104	0
2020-023_PSC_0391	BL	46572	0
2020-023_PSC_0392	BL	13241	0
2020-023_PSC_0394	BL	46130	0
2020-023_PSC_0395	BL	28090	0
2020-023_PSC_0396	BL	9716	0
2020-023_PSC_0397	BL	14213	0
2020-023_PSC_0399	BL	8316	0
2020-023_PSC_0400	BL	34108	0
2020-023_PSC_0401	BL	16282	0
2020-023_PSC_0403	BL	18826	0
2020-023_PSC_0404	BL	10344	0
2020-023_PSC_0406	BL	13343	0
2020-023_PSC_0408	BL	26441	0
2020-023_PSC_0411	BL	15653	0
2020-023_PSC_0412	BL	16004	0
2020-023_PSC_0415	BL	11060	0
2020-023_PSC_0417	BL	21931	0
2020-023_PSC_0418	BL	28235	0
2020-023_PSC_0419	BL	31072	0
2020-023_PSC_0423	BL	24278	0
2020-023_PSC_0424	BL	60922	0
2020-023_PSC_0426	BL	16695	0
2020-023_PSC_0429	BL	23566	0
2020-023_PSC_0430	BL	29066	0
2020-023_PSC_0434	BL	23350	0
2020-023_PSC_0437	BL	13821	0
2020-023_PSC_0439	BL	22235	0
2020-023_PSC_0440	BL	10543	0
2020-023_PSC_0441	BL	24857	0
2020-023_PSC_0444	BL	56602	0
2020-023_PSC_0446	BL	9357	0
2020-023_PSC_0447	BL	24018	0
2020-023_PSC_0448	BL	53377	0
2020-023_PSC_0451	BL	10120	0
2020-023_PSC_0452	BL	20541	0
2020-023_PSC_0453	BL	10561	0
2020-023_PSC_0454	BL	22007	0
2020-023_PSC_0456	BL	33828	0
2020-023_PSC_0458	BL	13288	0
2020-023_PSC_0459	BL	15700	0
2020-023_PSC_0460	BL	39517	0
2020-023_PSC_0462	BL	21160	0
2020-023_PSC_0465	BL	25058	0
2020-023_PSC_0466	BL	76506	0
2020-023_PSC_0469	BL	17935	0
2020-023_PSC_0470	BL	20990	0
2020-023_PSC_0472	BL	29930	0
2020-023_PSC_0474	BL	16947	0
2020-023_PSC_0475	BL	24625	0
2020-023_PSC_0476	BL	25332	0
2020-023_PSC_0477	BL	18524	0
2020-023_PSC_0479	BL	16412	0
2020-023_PSC_0481	BL	17550	0
2020-023_PSC_0482	BL	15749	0
2020-023_PSC_0484	BL	31737	0
2020-023_PSC_0485	BL	12795	0
2020-023_PSC_0486	BL	24472	0
2020-023_PSC_0487	BL	23317	0
2020-023_PSC_0488	BL	25360	0
2020-023_PSC_0489	BL	54185	0
2020-023_PSC_0490	BL	16395	0
2020-023_PSC_0491	BL	30937	0
2020-023_PSC_0493	BL	31076	0
2020-023_PSC_0498	BL	25970	0
2020-023_PSC_0499	BL	4239	0
2020-023_PSC_0500	BL	18757	0
2020-023_PSC_0501	BL	19622	0
2020-023_PSC_0502	BL	34838	0
2020-023_PSC_0504	BL	31263	0
2020-023_PSC_0505	BL	26035	0
2020-023_PSC_0506	BL	53287	0
2020-023_PSC_0507	BL	26715	0
2020-023_PSC_0508	BL	28663	0
2020-023_PSC_0510	BL	59575	0
2020-023_PSC_0511	BL	33806	0
2020-023_PSC_0512	BL	48693	0
2020-023_PSC_0513	BL	24063	0
2020-023_PSC_0514	BL	56138	0
2020-023_PSC_0518	BL	26772	0
2020-023_PSC_0520	BL	45254	0
2020-023_PSC_0521	BL	17301	0
2020-023_PSC_0522	BL	41649	0
2020-023_PSC_0523	BL	27069	0
2020-023_PSC_0524	BL	17115	0
2020-023_PSC_0525	BL	15096	0
2020-023_PSC_0526	BL	29130	0
2020-023_PSC_0527	BL	28662	0
2020-023_PSC_0528	BL	26291	0
